ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
B00499C,1,1,1
B00611C,1,1,1
B00628C,1,1,1
B00642C,1,1,1
B00669C,1,1,1
B00691C,1,1,1
B00771C,1,1,1
B00797C,1,1,1
B00800C,0,0,0
B00801C,0,0,0
B00828C,1,1,1
B00850C,1,1,1
B00904C,0,0,0
B01586S,1,1,1
B01629R,0,0,0
B01720S,1,1,1
B02104V,1,1,1
B02105V,1,1,1
B02158S,1,1,1
B02159E,1,1,1
B02186V,1,1,1
B02187V,1,1,1
B02188S,1,1,1
B03021V,1,1,1
BITURBO,1,1,1
CARCASSA,0,0,0
CAUZIONE,1,1,1
COREASSY,0,0,0
CORPO,0,0,0
EGR00548,0,0,0
EGR00581,0,0,0
EGR00584,0,0,0
EGR00586,0,0,0
EGR00589,0,0,0
EGR00600,0,0,0
EGR00602,0,0,0
EGR00611,0,0,0
EGR00613,0,0,0
EGR00631,0,0,0
EGR00635,0,0,0
G00001Z,0,0,0
G00030AC,1,1,1
G00031C,0,0,0
G00032C,1,1,1
G00035AC,0,0,0
G00036C,1,1,1
G00038AC,1,1,1
G00038C,1,1,1
G00042AC,1,1,1
G00042C,1,1,1
G00045C,1,1,1
G00047S,1,1,1
G00048C,0,0,0
G00049AC,1,1,1
G00051AC,1,1,1
G00051C,1,1,1
G00052AC,1,1,1
G00052C,0,0,0
G00053AC,1,1,1
G00053C,1,1,1
G00054AC,1,1,1
G00054C,1,1,1
G00055AC,1,1,1
G00055C,1,1,1
G00056C,1,1,1
G00057C,1,1,1
G00058C,1,1,1
G00059C,1,1,1
G00060C,1,1,1
G00061C,1,1,1
G00062C,0,0,0
G00063AC,0,0,0
G00063C,0,0,0
G00064AC,1,1,1
G00064C,1,1,1
G00064S,1,1,1
G00065C,1,1,1
G00066C,1,1,1
G00067C,0,0,0
G00068C,1,1,1
G00069AC,1,1,1
G00069C,1,1,1
G00070AC,0,0,0
G00070C,1,1,1
G00071C,0,0,0
G00072C,1,1,1
G00072P,1,1,1
G00073AC,1,1,1
G00073C,1,1,1
G00074AC,1,1,1
G00076AC,1,1,1
G00076C,1,1,1
G00077AC,1,1,1
G00078AC,1,1,1
G00080C,1,1,1
G00081AC,1,1,1
G00081C,1,1,1
G00082AC,1,1,1
G00082C,1,1,1
G00082S,1,1,1
G00083AC,1,1,1
G00083C,1,1,1
G00084C,0,0,0
G00085C,1,1,1
G00086C,1,1,1
G00087AC,1,1,1
G00087C,0,0,0
G00088AC,1,1,1
G00090AC,1,1,1
G00090C,1,1,1
G00090S,1,1,1
G00091AC,1,1,1
G00092C,1,1,1
G00093C,1,1,1
G00094C,1,1,1
G00095C,1,1,1
G00096C,1,1,1
G00097C,1,1,1
G00100C,1,1,1
G00101AC,1,1,1
G00101C,1,1,1
G00102AC,0,0,0
G00102C,1,1,1
G00103AC,1,1,1
G00103C,1,1,1
G00106AC,1,1,1
G00108C,1,1,1
G00111C,0,0,0
G00113C,1,1,1
G00117AC,1,1,1
G00117C,0,0,0
G00118AC,1,1,1
G00119C,1,1,1
G00121C,1,1,1
G00121S,1,1,1
G00122C,0,0,0
G00123C,1,1,1
G00124C,1,1,1
G00125C,1,1,1
G00126C,0,0,0
G00127C,1,1,1
G00128C,1,1,1
G00129C,0,0,0
G00130C,1,1,1
G00131C,1,1,1
G00132AC,1,1,1
G00132C,1,1,1
G00133C,1,1,1
G00134AC,1,1,1
G00135AC,1,1,1
G00136AC,0,0,0
G00136C,1,1,1
G00137AC,1,1,1
G00138AC,1,1,1
G00138C,1,1,1
G00139C,0,0,0
G00140C,1,1,1
G00141C,1,1,1
G00142C,1,1,1
G00143C,1,1,1
G00144C,1,1,1
G00145C,1,1,1
G00146C,1,1,1
G00148C,1,1,1
G00149C,1,1,1
G00150C,1,1,1
G00153C,1,1,1
G00154AC,1,1,1
G00156C,1,1,1
G00158C,1,1,1
G00159C,1,1,1
G00163C,1,1,1
G00165C,0,0,0
G00166C,1,1,1
G00167C,1,1,1
G00168C,1,1,1
G00169C,1,1,1
G00172C,0,0,0
G00173C,0,0,0
G00174AC,1,1,1
G00177C,1,1,1
G00178AC,1,1,1
G00178C,1,1,1
G00178S,1,1,1
G00179C,1,1,1
G00181C,1,1,1
G00182C,1,1,1
G00183C,1,1,1
G00185C,0,0,0
G00186C,0,0,0
G00188C,1,1,1
G00189C,1,1,1
G00190C,1,1,1
G00191C,1,1,1
G00193C,1,1,1
G00195C,0,0,0
G00197C,1,1,1
G00198C,1,1,1
G00199C,0,0,0
G00201C,1,1,1
G00211C,1,1,1
G00212C,1,1,1
G00214AC,1,1,1
G00215AC,1,1,1
G00216AC,1,1,1
G00222C,1,1,1
G00224C,1,1,1
G00228AC,1,1,1
G00228C,1,1,1
G00231C,1,1,1
G00232AC,1,1,1
G00235AC,1,1,1
G00235C,1,1,1
G00235S,1,1,1
G00236C,0,0,0
G00237AC,1,1,1
G00237C,1,1,1
G00238C,1,1,1
G00239AC,1,1,1
G00239C,1,1,1
G00240AC,1,1,1
