ID_Product,Quantity,Quantity_Fourniss_After_Cumule
000057,25,25
000064,18,18
000073,0,0
000090,23,23
000103,12,12
000139,29,29
031202,2,2
03391,1,1
0409G,0,0
051224,2,2
0513C,0,0
053002,2,2
053003,4,4
053004,3,3
053013,22,22
053017,31,31
053019,28,28
05302,0,0
053020,67,67
053040,22,22
053045,87,87
053048,87,87
053049,146,146
05999,0,0
05P002,0,0
05P003,0,0
05P007,0,0
05P010,0,0
05P011,2,2
05P012,2,2
05P013,0,0
05P014,1,1
05P015,0,0
05P016,2,2
05P017,0,0
05P024,0,0
05P026,0,0
05P032,2,2
05P035,2,2
05P036,1,1
05P037,1,1
05P040,0,0
05P041,2,2
05P043,1,1
05P056,2,2
05P058,2,2
05P061,0,0
05P071,2,2
05P088,0,0
05P089,3,3
05P090,5,5
05P092,1,1
05P094,6,6
05P095,2,2
05P1000A,3,3
05P1001,3,3
05P1002,0,0
05P1004,2,2
05P1005,1,1
05P1006,0,0
05P1008,2,2
05P1009,1,1
05P101,0,0
05P1015,2,2
05P1018,1,1
05P102,0,0
05P1025,1,1
05P1029,0,0
05P1030,0,0
05P1031,0,0
05P1036,21,21
05P1037,0,0
05P1041,1,1
05P1042,1,1
05P1043,0,0
05P1044,0,0
05P1045,0,0
05P1046,0,0
05P1050,1,1
05P1053,1,1
05P1054,12,12
05P1056,2,2
05P1059,3,3
05P1061,0,0
05P1062,0,0
05P1065,2,2
05P1066,1,1
05P1068,2,2
05P1069,1,1
05P107,2,2
05P1070,1,1
05P1071,3,3
05P1072,3,3
05P1080,3,3
05P1098,2,2
05P1101,1,1
05P1105,17,17
05P1106,11,11
05P1107,15,15
05P1109,0,0
05P1109A,2,2
05P1112,3,3
05P1113,2,2
05P1114,1,1
05P1115,0,0
05P1119,2,2
05P1120,2,2
05P1121,2,2
05P1124,4,4
05P1124A,2,2
05P113,0,0
05P1131,1,1
05P1137,0,0
05P1140,3,3
05P1141,0,0
05P117,0,0
05P118,0,0
05P1188,111,111
05P1190,1,1
05P1193,5,5
05P1194,4,4
05P1195,4,4
05P1196,4,4
05P1197,25,25
05P1202,3,3
05P1203,1,1
05P1205,2,2
05P1206,4,4
05P1207,0,0
05P1210,0,0
05P1212,1,1
05P1215,2,2
05P1219,20,20
05P1220,5,5
05P1221,2,2
05P1224,2,2
05P1226,2,2
05P1228,0,0
05P1229,3,3
05P1230,0,0
05P1231,8,8
05P1232,6,6
05P1233,1,1
05P1234,0,0
05P1235,8,8
05P1236,15,15
05P1237,0,0
05P1238,4,4
05P1239,2,2
05P1240,5,5
05P1241,5,5
05P1242,7,7
05P1243,4,4
05P1244,0,0
05P1245,1,1
05P1246,10,10
05P1247,2,2
05P1248,10,10
05P1249,7,7
05P1250,2,2
05P1251,1,1
05P1252,14,14
05P1253,0,0
05P1254,2,2
05P1255,2,2
05P1257,6,6
05P1258,0,0
05P1259,0,0
05P1260,0,0
05P1261,5,5
05P1263,2,2
05P1264,4,4
05P1265,2,2
05P1267,1,1
05P1269,8,8
05P1270,2,2
05P1271,5,5
05P1272,2,2
05P1273,0,0
05P1274,0,0
05P1275,7,7
05P1276,1,1
05P1277,4,4
05P1278,20,20
05P1279,6,6
05P128,4,4
05P1280,0,0
05P1281,6,6
05P1282,1,1
05P1283,5,5
05P1284,1,1
05P1285,0,0
05P1286,4,4
05P1287,15,15
05P1288,12,12
05P1289,18,18
05P129,0,0
05P1290,0,0
05P1291,2,2
05P1292,3,3
05P1293,10,10
05P1294,2,2
05P1295,2,2
05P1296,17,17
05P1297,13,13
05P1303,3,3
05P131,0,0
05P1313,0,0
05P1314,9,9
05P1315,1,1
05P1316,0,0
05P1317,3,3
05P1318,4,4
05P1319,4,4
05P1322,4,4
05P1323,2,2
05P1326,3,3
05P1328,7,7
05P133,7,7
05P1333,0,0
05P1334,3,3
05P1336,6,6
05P1340,7,7
05P1343,3,3
05P1344,5,5
05P1345,1,1
05P1347,6,6
05P1348,29,29
05P1349,5,5
05P1351,113,113
05P1353,1,1
05P1354,1,1
05P1355,0,0
05P1358,0,0
05P1359,4,4
05P1360,1,1
05P1361,0,0
05P1362,2,2
05P1363,2,2
05P1365,0,0
05P1366,0,0
05P1367,0,0
05P1368,0,0
05P1369,4,4
05P137,2,2
05P1370,1,1
05P1372,2,2
05P1373,0,0
05P1374,0,0
05P1375,5,5
05P1376,2,2
05P1378,1,1
05P1379,3,3
05P1380,0,0
05P1382,0,0
05P1384,1,1
05P1387,0,0
05P1388,2,2
05P1389,13,13
05P139,0,0
05P1390,8,8
05P1391,14,14
05P1392,11,11
05P1393,0,0
05P1398,3,3
05P1398A,1,1
05P1399,1,1
05P140,0,0
05P1400,0,0
05P1401,2,2
05P1402,1,1
05P1403,3,3
05P1405,1,1
05P1406,3,3
05P1407,0,0
05P1408,2,2
05P1409,3,3
05P1410,3,3
05P1411,0,0
05P1412,0,0
05P1413,0,0
05P1415,4,4
05P1416,0,0
05P1417,0,0
05P142,1,1
05P1420,1,1
05P1420A,5,5
05P1421,0,0
05P143,0,0
05P1430,0,0
05P1441,0,0
05P1443,1,1
05P1444,3,3
05P1448,0,0
05P1453,1,1
05P1456,0,0
05P146,0,0
05P1460,38,38
05P1464,1,1
05P1465,8,8
05P1467,2,2
05P1469,0,0
05P1470,3,3
05P1471,60,60
05P1472,0,0
05P1474,4,4
05P1475,51,51
05P1476,5,5
05P1477,0,0
05P1480,16,16
05P1481,5,5
05P1482,4,4
05P1483,0,0
05P1484,15,15
05P1485,5,5
05P1486,8,8
05P1487,8,8
05P1489,0,0
05P1490,0,0
05P1491,1,1
05P1493,29,29
05P1495,16,16
05P1496,0,0
05P1498,0,0
05P1499,0,0
05P150,1,1
05P1500,59,59
05P1504,3,3
05P1505,0,0
05P1506,1,1
05P1508,10,10
05P1509,6,6
05P151,0,0
05P1511,1,1
05P1518,0,0
05P1519,0,0
05P1522,0,0
05P1528,1,1
05P1533,3,3
05P1534,6,6
05P1535,2,2
05P1536,2,2
05P1541,0,0
05P1548,1,1
05P1550,0,0
05P1551,0,0
05P1552,1,1
05P1553,0,0
05P1554,0,0
05P156,2,2
05P1561,2,2
05P1562,2,2
05P1566,0,0
05P1567,29,29
05P157,2,2
05P1570,1,1
05P1571,0,0
05P1575,2,2
05P1578,28,28
05P1579,3,3
05P158,0,0
05P1581,4,4
05P1584,7,7
05P1589,2,2
05P1590,6,6
05P1597,0,0
05P1599,2,2
05P1600,4,4
05P1602,3,3
05P1603,2,2
05P1605,3,3
05P1606,9,9
05P1608,6,6
05P161,2,2
05P1610,0,0
05P1618,2,2
05P1619,5,5
05P1621,0,0
05P1623,0,0
05P1626A,0,0
05P1627,2,2
05P1629,0,0
05P1630,4,4
05P1631,0,0
05P1637,8,8
05P1641,0,0
05P1649,0,0
05P1650,3,3
05P1653,9,9
05P1654,5,5
05P1656,1,1
05P1660,1,1
05P1661,6,6
05P1662,0,0
05P1663,0,0
05P1665,1,1
05P1667,0,0
05P1668,2,2
05P1669,1,1
05P1673,8,8
05P1674,4,4
05P1675,0,0
05P1678,5,5
05P1694,0,0
05P1696,0,0
05P1698,1,1
05P1699,3,3
05P1702,79,79
05P1710,12,12
05P1721,8,8
05P1722,9,9
05P1723,0,0
05P1731,8,8
05P1732,5,5
05P1739,0,0
05P1740,3,3
05P1741,4,4
05P1744,2,2
05P1748,0,0
05P1752,4,4
05P1755,1,1
05P1760,0,0
05P1761,0,0
05P1762,0,0
05P1767,1,1
05P1768,2,2
05P1769,0,0
05P1770,14,14
05P1772,1,1
05P1773,1,1
05P1780,0,0
05P1781,5,5
05P1782,6,6
05P1783,0,0
05P1784,0,0
05P1785,3,3
05P1786,2,2
05P1787,0,0
05P1788,58,58
05P179,0,0
05P1790,2,2
05P1795K,0,0
05P1800,3,3
05P1801,0,0
05P1802,0,0
05P1803,0,0
05P181,0,0
05P1815,0,0
05P1834,19,19
05P1835,8,8
05P1836,3,3
05P1838,31,31
05P1845,26,26
05P185,2,2
05P1851,0,0
05P1852,11,11
05P1853,0,0
05P1856,9,9
05P1862,4,4
05P1867,0,0
05P187,2,2
05P1873,17,17
05P1876,3,3
05P1878,2,2
05P1879,5,5
05P188,0,0
05P1882,9,9
05P190,8,8
05P1901,42,42
05P1902,0,0
05P1903,7,7
05P1906,9,9
05P1912,0,0
05P1917,0,0
05P1918,2,2
05P1929,30,30
05P194,0,0
05P195,2,2
05P1951,0,0
05P1952,4,4
05P1953,0,0
05P1954,0,0
05P1963,37,37
05P1972,1,1
05P1974,0,0
05P1975,7,7
05P1976,4,4
05P1979,8,8
05P1981,3,3
05P1982,39,39
05P1987,0,0
05P1992,0,0
05P1993,0,0
05P1996,2,2
05P1997K,0,0
05P2003,1,1
05P2005,5,5
05P201,0,0
05P2012,0,0
05P2019,0,0
05P202,0,0
05P2022,2,2
05P2025,35,35
05P2029,0,0
05P2030,10,10
05P2031,6,6
05P2033,1,1
05P2034,14,14
05P2036,1,1
05P2038,0,0
