platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
07,0020160001,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0020160002,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0020160004,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0020160005,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0020170001,6,10,4,20250812_135901,0,10,0,0,0,0,0,0
07,0020180001,7,10,3,20250812_135901,0,10,0,0,0,0,0,0
07,0030140004,1,10,9,20250812_135901,0,10,0,0,0,0,0,0
07,0030140012,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030150017,3,10,7,20250812_135901,0,10,0,0,0,0,0,0
07,0030160001,0,2,2,20250812_135901,0,2,0,0,0,0,0,0
07,0030160002,0,1,1,20250812_135901,0,1,0,0,0,0,0,0
07,0030160004,0,1,1,20250812_135901,0,1,0,0,0,0,0,0
07,0030160006,10,6,-4,20250812_135901,0,6,0,0,0,0,0,0
07,0030160007,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030160008,1,10,9,20250812_135901,0,10,0,0,0,0,0,0
07,0030160009,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030160010,6,10,4,20250812_135901,0,10,0,0,0,0,0,0
07,0030160024,0,6,6,20250812_135901,0,6,0,0,0,0,0,0
07,0030160025,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030160026,10,2,-8,20250812_135901,0,2,0,0,0,0,0,0
07,0030160029,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030160030,8,9,1,20250812_135901,0,9,0,0,0,0,0,0
07,0030170004,1,0,-1,20250812_135901,0,0,0,0,0,0,0,0
07,0030170008,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030170012,3,6,3,20250812_135901,0,6,0,0,0,0,0,0
07,0030170013,8,10,2,20250812_135901,0,10,0,0,0,0,0,0
07,0030170014,10,7,-3,20250812_135901,0,7,0,0,0,0,0,0
07,0030170015,1,0,-1,20250812_135901,0,0,0,0,0,0,0,0
07,0030170020,1,0,-1,20250812_135901,0,0,0,0,0,0,0,0
07,0030170021,6,10,4,20250812_135901,0,10,0,0,0,0,0,0
07,0030170022,0,9,9,20250812_135901,0,9,0,0,0,0,0,0
07,0030170028,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030170033,7,9,2,20250812_135901,0,9,0,0,0,0,0,0
07,0030170039B,9,6,-3,20250812_135901,0,6,0,0,0,0,0,0
07,0030170039B,1,6,5,20250812_135901,0,6,0,0,0,0,0,0
07,0030170040B,10,5,-5,20250812_135901,0,5,0,0,0,0,0,0
07,0030170040B,1,5,4,20250812_135901,0,5,0,0,0,0,0,0
07,0030170043,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0030170045,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030170050,10,5,-5,20250812_135901,0,5,0,0,0,0,0,0
07,0030170051B,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030170056,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030170059,4,0,-4,20250812_135901,0,0,0,0,0,0,0,0
07,0030170061,6,10,4,20250812_135901,0,10,0,0,0,0,0,0
07,0030170064,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030170065,7,10,3,20250812_135901,0,10,0,0,0,0,0,0
07,0030170067,9,10,1,20250812_135901,0,10,0,0,0,0,0,0
07,0030180002,10,6,-4,20250812_135901,0,6,0,0,0,0,0,0
07,0030180003,7,10,3,20250812_135901,0,10,0,0,0,0,0,0
07,0030180005,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0030180007,10,5,-5,20250812_135901,0,5,0,0,0,0,0,0
07,0030180008,0,4,4,20250812_135901,0,4,0,0,0,0,0,0
07,0030180009,3,10,7,20250812_135901,0,10,0,0,0,0,0,0
07,0030180010,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030180014,9,10,1,20250812_135901,0,10,0,0,0,0,0,0
07,0030180015,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030180016,10,4,-6,20250812_135901,0,4,0,0,0,0,0,0
07,0030180017,4,0,-4,20250812_135901,0,0,0,0,0,0,0,0
07,0030180019,0,8,8,20250812_135901,0,8,0,0,0,0,0,0
07,0030180020,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030180021,0,8,8,20250812_135901,0,8,0,0,0,0,0,0
07,0030220004,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0030220011,1,10,9,20250812_135901,0,10,0,0,0,0,0,0
07,003028012,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,00325870D,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0040140005,7,9,2,20250812_135901,0,9,0,0,0,0,0,0
07,0040140006,10,7,-3,20250812_135901,0,7,0,0,0,0,0,0
07,0040140007,10,7,-3,20250812_135901,0,7,0,0,0,0,0,0
07,0040140009,10,3,-7,20250812_135901,0,3,0,0,0,0,0,0
07,0040140010,7,10,3,20250812_135901,0,10,0,0,0,0,0,0
07,0040140011,9,10,1,20250812_135901,0,10,0,0,0,0,0,0
07,0040140013,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040140017,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040140018,6,8,2,20250812_135901,0,8,0,0,0,0,0,0
07,0040140019,10,9,-1,20250812_135901,0,9,0,0,0,0,0,0
07,0040140020,5,4,-1,20250812_135901,0,4,0,0,0,0,0,0
07,0040140021,5,0,-5,20250812_135901,0,0,0,0,0,0,0,0
07,0040140022,5,2,-3,20250812_135901,0,2,0,0,0,0,0,0
07,0040140023,0,6,6,20250812_135901,0,6,0,0,0,0,0,0
07,0040140024,5,4,-1,20250812_135901,0,4,0,0,0,0,0,0
07,0040150024,4,10,6,20250812_135901,0,10,0,0,0,0,0,0
07,0040160002,0,5,5,20250812_135901,0,5,0,0,0,0,0,0
07,0040160003,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040160004,3,1,-2,20250812_135901,0,1,0,0,0,0,0,0
07,0040160011,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040160016,10,0,-10,20250812_135901,0,0,0,0,0,0,0,0
07,0040160019,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
07,0040160020,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0040160021,9,4,-5,20250812_135901,0,4,0,0,0,0,0,0
07,0040160029,10,5,-5,20250812_135901,0,5,0,0,0,0,0,0
07,0040170001,10,8,-2,20250812_135901,0,8,0,0,0,0,0,0
07,0040170003,0,7,7,20250812_135901,0,7,0,0,0,0,0,0
07,0040170006,0,10,10,20250812_135901,0,10,0,0,0,0,0,0
