platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Storm,stock_eminia trading
Alzura,0040170032,10,9,-1,20250811_165946,0,9,0,0,0,0,0
Alzura,0090180005,7,8,1,20250811_165946,0,8,0,0,0,0,0
Alzura,0090180009,4,5,1,20250811_165946,0,5,0,0,0,0,0
Alzura,0170160005,6,10,4,20250811_165946,0,10,0,0,0,0,0
Alzura,0180160035,9,10,1,20250811_165946,0,10,0,0,0,0,0
Alzura,0190170035,5,7,2,20250811_165946,0,7,0,0,0,0,0
Alzura,0211M03,8,9,1,20250811_165946,0,9,0,0,0,0,0
Alzura,0230160002,3,4,1,20250811_165946,0,4,0,0,0,0,0
Alzura,0240160003,6,10,4,20250811_165946,0,10,0,0,0,0,0
Alzura,0270160003,9,10,1,20250811_165946,0,10,0,0,0,0,0
Alzura,0320170006,5,9,4,20250811_165946,0,9,0,0,0,0,0
Alzura,0380160008,4,5,1,20250811_165946,0,5,0,0,0,0,0
Alzura,0420170069,8,10,2,20250811_165946,0,10,0,0,0,0,0
Alzura,0420180001,4,8,4,20250811_165946,0,8,0,0,0,0,0
Alzura,0510160030,0,3,3,20250811_165946,0,3,0,0,0,0,0
Alzura,0540180023,3,2,-1,20250811_165946,0,2,0,0,0,0,0
Alzura,100002,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100002,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100008,17,16,-1,20250811_165946,0,0,16,0,0,0,0
Alzura,100015,4,3,-1,20250811_165946,0,0,3,0,0,0,0
Alzura,100015,4,3,-1,20250811_165946,0,0,3,0,0,0,0
Alzura,100017,16,15,-1,20250811_165946,0,0,15,0,0,0,0
Alzura,100017,16,15,-1,20250811_165946,0,0,15,0,0,0,0
Alzura,100036,37,32,-5,20250811_165946,0,0,32,0,0,0,0
Alzura,100061,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100062,6,5,-1,20250811_165946,0,0,5,0,0,0,0
Alzura,100062,6,5,-1,20250811_165946,0,0,5,0,0,0,0
Alzura,100082,6,1,-5,20250811_165946,0,0,1,0,0,0,0
Alzura,100082,6,1,-5,20250811_165946,0,0,1,0,0,0,0
Alzura,100095,13,11,-2,20250811_165946,0,0,11,0,0,0,0
Alzura,100105,0,3,3,20250811_165946,0,0,3,0,0,0,0
Alzura,100112,71,74,3,20250811_165946,0,0,74,0,0,0,0
Alzura,100119,7,6,-1,20250811_165946,0,0,6,0,0,0,0
Alzura,100132,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100133,7,5,-2,20250811_165946,0,0,5,0,0,0,0
Alzura,100139,29,21,-8,20250811_165946,0,0,21,0,0,0,0
Alzura,100149,30,29,-1,20250811_165946,0,0,29,0,0,0,0
Alzura,100151,10,4,-6,20250811_165946,0,0,4,0,0,0,0
Alzura,100153,36,37,1,20250811_165946,0,0,37,0,0,0,0
Alzura,100154,28,24,-4,20250811_165946,0,0,24,0,0,0,0
Alzura,100155,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100158,5,4,-1,20250811_165946,0,0,4,0,0,0,0
Alzura,100163,12,8,-4,20250811_165946,0,0,8,0,0,0,0
Alzura,100165,2,3,1,20250811_165946,0,0,2,0,0,1,0
Alzura,100170,1,2,1,20250811_165946,0,0,1,0,0,1,0
Alzura,100179,2,5,3,20250811_165946,0,0,5,0,0,0,0
Alzura,100182,2,3,1,20250811_165946,0,0,2,0,0,1,0
Alzura,100186,3,4,1,20250811_165946,0,0,4,0,0,0,0
Alzura,100205,13,1,-12,20250811_165946,0,0,1,0,0,0,0
Alzura,100212,1,18,17,20250811_165946,0,0,18,0,0,0,0
Alzura,100224,4,5,1,20250811_165946,0,0,5,0,0,0,0
Alzura,100243,5,7,2,20250811_165946,0,0,7,0,0,0,0
Alzura,100249,13,12,-1,20250811_165946,0,0,12,0,0,0,0
Alzura,100261,15,7,-8,20250811_165946,0,0,7,0,0,0,0
Alzura,100275,1,0,-1,20250811_165946,0,0,0,0,0,0,0
Alzura,100277,1,3,2,20250811_165946,0,0,0,0,0,3,0
Alzura,100280,1,2,1,20250811_165946,0,0,1,0,0,1,0
Alzura,100283,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100293,20,18,-2,20250811_165946,0,0,18,0,0,0,0
Alzura,100299,2,6,4,20250811_165946,0,0,0,0,0,6,0
Alzura,100314,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100318,66,63,-3,20250811_165946,0,0,63,0,0,0,0
Alzura,100366,3,1,-2,20250811_165946,0,0,1,0,0,0,0
Alzura,100373,1,4,3,20250811_165946,0,0,1,0,0,3,0
Alzura,100375,15,16,1,20250811_165946,0,0,16,0,0,0,0
Alzura,100390,49,44,-5,20250811_165946,0,0,44,0,0,0,0
Alzura,100401,35,36,1,20250811_165946,0,0,36,0,0,0,0
Alzura,100402,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100404,121,120,-1,20250811_165946,0,0,120,0,0,0,0
Alzura,100413,2,3,1,20250811_165946,0,0,3,0,0,0,0
Alzura,100424,4,2,-2,20250811_165946,0,0,2,0,0,0,0
Alzura,100440,10,9,-1,20250811_165946,0,0,9,0,0,0,0
Alzura,100473,5,3,-2,20250811_165946,0,0,3,0,0,0,0
Alzura,100476,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100479,2,3,1,20250811_165946,0,0,3,0,0,0,0
Alzura,100522,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100540,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100551,14,3,-11,20250811_165946,0,0,3,0,0,0,0
Alzura,100598,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100599,3,2,-1,20250811_165946,0,0,2,0,0,0,0
Alzura,100606,17,15,-2,20250811_165946,0,0,15,0,0,0,0
Alzura,100617,2,5,3,20250811_165946,0,0,5,0,0,0,0
Alzura,100619,11,10,-1,20250811_165946,0,0,10,0,0,0,0
Alzura,100621,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,100628,96,97,1,20250811_165946,0,0,97,0,0,0,0
Alzura,100637,2,3,1,20250811_165946,0,0,3,0,0,0,0
Alzura,100642,41,43,2,20250811_165946,0,0,43,0,0,0,0
Alzura,100644,7,5,-2,20250811_165946,0,0,5,0,0,0,0
Alzura,100648,12,11,-1,20250811_165946,0,0,11,0,0,0,0
Alzura,100658,3,5,2,20250811_165946,0,0,5,0,0,0,0
Alzura,100684,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100709,55,54,-1,20250811_165946,0,0,54,0,0,0,0
Alzura,100713,46,38,-8,20250811_165946,0,0,38,0,0,0,0
Alzura,100721,36,42,6,20250811_165946,0,0,42,0,0,0,0
Alzura,100725,24,22,-2,20250811_165946,0,0,22,0,0,0,0
Alzura,100731,2,3,1,20250811_165946,0,0,3,0,0,0,0
Alzura,100792,1,3,2,20250811_165946,0,0,3,0,0,0,0
Alzura,100798,14,12,-2,20250811_165946,0,0,12,0,0,0,0
Alzura,100818,16,15,-1,20250811_165946,0,0,15,0,0,0,0
Alzura,100823,19,14,-5,20250811_165946,0,0,14,0,0,0,0
Alzura,100833,15,14,-1,20250811_165946,0,0,14,0,0,0,0
Alzura,100839,3,2,-1,20250811_165946,0,0,2,0,0,0,0
Alzura,100841,9,7,-2,20250811_165946,0,0,7,0,0,0,0
Alzura,100866,1,5,4,20250811_165946,0,0,5,0,0,0,0
Alzura,100888,3,2,-1,20250811_165946,0,0,2,0,0,0,0
Alzura,100895,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100905,6,4,-2,20250811_165946,0,0,4,0,0,0,0
Alzura,100911,32,31,-1,20250811_165946,0,0,31,0,0,0,0
Alzura,100913,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100917,14,10,-4,20250811_165946,0,0,10,0,0,0,0
Alzura,100924,141,138,-3,20250811_165946,0,0,138,0,0,0,0
Alzura,100934,31,32,1,20250811_165946,0,0,32,0,0,0,0
Alzura,100938,2,4,2,20250811_165946,0,0,4,0,0,0,0
Alzura,100941,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,100957,42,44,2,20250811_165946,0,0,44,0,0,0,0
Alzura,100963,40,38,-2,20250811_165946,0,0,38,0,0,0,0
Alzura,100970,74,75,1,20250811_165946,0,0,75,0,0,0,0
Alzura,100973,1,4,3,20250811_165946,0,0,4,0,0,0,0
Alzura,100991,20,18,-2,20250811_165946,0,0,18,0,0,0,0
Alzura,101012,23,20,-3,20250811_165946,0,0,20,0,0,0,0
