platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
Departo-Germany,100001,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100002,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100004,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100005,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100008,1,16,15,20250812_135901,0,0,16,0,0,0,0,0
Departo-Germany,100009,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100011,1,20,19,20250812_135901,0,0,20,0,0,0,0,0
Departo-Germany,100014,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100015,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100016,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100017,1,15,14,20250812_135901,0,0,15,0,0,0,0,0
Departo-Germany,100020,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100023,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100024,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100025,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100026,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100029,1,24,23,20250812_135901,0,0,24,0,0,0,0,0
Departo-Germany,100030,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100032,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100033,1,77,76,20250812_135901,0,0,77,0,0,0,0,0
Departo-Germany,100034,1,42,41,20250812_135901,0,0,42,0,0,0,0,0
Departo-Germany,100036,1,32,31,20250812_135901,0,0,32,0,0,0,0,0
Departo-Germany,100045,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100047,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100050,1,10,9,20250812_135901,0,0,10,0,0,0,0,0
Departo-Germany,100057,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100062,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100063,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100064,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100066,1,14,13,20250812_135901,0,0,14,0,0,0,0,0
Departo-Germany,100068,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100069,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100071,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100072,1,98,97,20250812_135901,0,0,98,0,0,0,0,0
Departo-Germany,100074,1,22,21,20250812_135901,0,0,22,0,0,0,0,0
Departo-Germany,100075,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100076,1,73,72,20250812_135901,0,0,73,0,0,0,0,0
Departo-Germany,100079,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100080,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100081,1,102,101,20250812_135901,0,0,102,0,0,0,0,0
Departo-Germany,100084,1,37,36,20250812_135901,0,0,37,0,0,0,0,0
