platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
TIELEHABERDER,0217M07,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
TIELEHABERDER,0217M08,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
TIELEHABERDER,0416M09,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
TIELEHABERDER,1119904500,3,14,11,20250812_135901,0,0,0,14,0,0,0,0
TIELEHABERDER,1140104870,3,11,8,20250812_135901,0,0,0,11,0,0,0,0
TIELEHABERDER,1140104880,3,16,13,20250812_135901,0,0,0,16,0,0,0,0
TIELEHABERDER,1140109770,3,6,3,20250812_135901,0,0,0,6,0,0,0,0
TIELEHABERDER,1140109780,3,1,-2,20250812_135901,0,0,0,1,0,0,0,0
TIELEHABERDER,1145100300,3,89,86,20250812_135901,0,0,0,89,0,0,0,0
TIELEHABERDER,1150000100,3,999,996,20250812_135901,0,0,0,999,0,0,0,0
TIELEHABERDER,1190104200,3,9,6,20250812_135901,0,0,0,9,0,0,0,0
TIELEHABERDER,1190105900,3,1,-2,20250812_135901,0,0,0,1,0,0,0,0
TIELEHABERDER,1190106100,3,2,-1,20250812_135901,0,0,0,2,0,0,0,0
TIELEHABERDER,1290101300,3,6,3,20250812_135901,0,0,0,6,0,0,0,0
TIELEHABERDER,1290104800,3,5,2,20250812_135901,0,0,0,5,0,0,0,0
TIELEHABERDER,1340102210,3,67,64,20250812_135901,0,0,0,67,0,0,0,0
TIELEHABERDER,1345102400,3,34,31,20250812_135901,0,0,0,34,0,0,0,0
TIELEHABERDER,1445101300,3,8,5,20250812_135901,0,0,0,8,0,0,0,0
TIELEHABERDER,1590102100,3,2,-1,20250812_135901,0,0,0,2,0,0,0,0
TIELEHABERDER,20026,3,114,111,20250812_135901,0,0,0,0,0,0,114,0
TIELEHABERDER,20051,3,1,-2,20250812_135901,0,0,0,0,0,0,1,0
TIELEHABERDER,20499,3,1,-2,20250812_135901,0,0,0,0,1,0,0,0
TIELEHABERDER,23025,3,88,85,20250812_135901,0,0,0,0,0,0,88,0
TIELEHABERDER,26027,3,67,64,20250812_135901,0,0,0,0,0,0,67,0
TIELEHABERDER,28575,3,2,-1,20250812_135901,0,0,0,0,0,0,2,0
TIELEHABERDER,28584,3,17,14,20250812_135901,0,0,0,0,0,0,17,0
TIELEHABERDER,28683,3,6,3,20250812_135901,0,0,0,0,0,0,6,0
TIELEHABERDER,29003,3,27,24,20250812_135901,0,0,0,0,0,0,27,0
TIELEHABERDER,3190100700,3,18,15,20250812_135901,0,0,0,18,0,0,0,0
TIELEHABERDER,37899,3,1,-2,20250812_135901,0,0,0,0,1,0,0,0
TIELEHABERDER,4844300800,3,62,59,20250812_135901,0,0,0,62,0,0,0,0
TIELEHABERDER,61020,3,9,6,20250812_135901,0,0,0,0,0,0,9,0
TIELEHABERDER,61021,3,52,49,20250812_135901,0,0,0,0,0,0,52,0
TIELEHABERDER,61024,3,18,15,20250812_135901,0,0,0,0,0,0,18,0
TIELEHABERDER,61025,3,16,13,20250812_135901,0,0,0,0,0,0,16,0
TIELEHABERDER,61043,3,13,10,20250812_135901,0,0,0,0,0,0,13,0
TIELEHABERDER,61081,3,6,3,20250812_135901,0,0,0,0,0,0,6,0
TIELEHABERDER,61082,3,7,4,20250812_135901,0,0,0,0,0,0,7,0
TIELEHABERDER,88015,3,74,71,20250812_135901,0,0,0,0,0,0,74,0
TIELEHABERDER,91051,3,1,-2,20250812_135901,0,0,0,0,0,0,1,0
TIELEHABERDER,97172,3,17,14,20250812_135901,0,0,0,0,0,0,17,0
TIELEHABERDER,97176,3,12,9,20250812_135901,0,0,0,0,0,0,12,0
TIELEHABERDER,A0001,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0002,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0003,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0005,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0006,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0007,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0008,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0009,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0010,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0011,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0019,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0020,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0021,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0022,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0022BOSCH,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
TIELEHABERDER,A0022P,3,1,-2,20250812_135901,1,0,0,0,0,0,0,0
TIELEHABERDER,A0022SR,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
TIELEHABERDER,A0023,3,10,7,20250812_135901,10,0,0,0,0,0,0,0
TIELEHABERDER,A0024,3,0,-3,20250812_135901,0,0,0,0,0,0,0,0
