productReference;Brand;IDTECDOC;EAN;Name;Description;Stock;price;Currency;priceeurop;Currency.1
AS-202648;ASLYX;5259;2000020003149.0;PIECESOE;PIECESOE;1.0;33,6;EUR;43;EUR
AS-535906;ASLYX;5259;2000020003166.0;PIECESOE;PIECESOE;1.0;42,28;EUR;42,28;EUR
AS-594123;ASLYX;5259;2000020003151.0;PIECESOE;PIECESOE;1.0;42,3;EUR;42,3;EUR
AS-200627;ASLYX;5259;2000020003153.0;PIECESOE;PIECESOE;1.0;43,08;EUR;43;EUR
AS-535716;ASLYX;5259;2000020003144.0;PIECESOE;PIECESOE;1.0;43,08;EUR;43;EUR
AS-202738;ASLYX;5259;2000020003138.0;PIECESOE;PIECESOE;1.0;43,08;EUR;43;EUR
AS-521148;ASLYX;5259;2000020003154.0;PIECESOE;PIECESOE;1.0;44,82;EUR;44,82;EUR
AS-503270;ASLYX;5259;2000020003157.0;PIECESOE;PIECESOE;1.0;45,36;EUR;45,36;EUR
AS-509667;ASLYX;5259;2000020003133.0;PIECESOE;PIECESOE;1.0;46,58;EUR;46,58;EUR
AS-592027;ASLYX;5259;2000020003156.0;PIECESOE;PIECESOE;1.0;47,18;EUR;47,18;EUR
AS-535933;ASLYX;5259;2000020003160.0;PIECESOE;PIECESOE;1.0;48,24;EUR;48,24;EUR
AS-506588;ASLYX;5259;2000020003148.0;PIECESOE;PIECESOE;1.0;49,26;EUR;49,26;EUR
AS-535743;ASLYX;5259;2000020003136.0;PIECESOE;PIECESOE;1.0;49,64;EUR;49,64;EUR
AS-594252;ASLYX;5259;2000020003132.0;PIECESOE;PIECESOE;1.0;51,48;EUR;51,48;EUR
AS-503290;ASLYX;5259;2000020003155.0;PIECESOE;PIECESOE;1.0;52,08;EUR;52,08;EUR
AS-203484;ASLYX;5259;2000020003142.0;PIECESOE;PIECESOE;1.0;56,98;EUR;56,98;EUR
AS-509874;ASLYX;5259;2000020003143.0;PIECESOE;PIECESOE;1.0;60,04;EUR;60,04;EUR
AS-503987;ASLYX;5259;2000020003173.0;PIECESOE;PIECESOE;1.0;61,06;EUR;61,06;EUR
AS-521167;ASLYX;5259;2000020003150.0;PIECESOE;PIECESOE;1.0;61,86;EUR;61,86;EUR
AS-202227;ASLYX;5259;2000020003170.0;PIECESOE;PIECESOE;1.0;65,32;EUR;65,32;EUR
AS-535567;ASLYX;5259;2000020003137.0;PIECESOE;PIECESOE;1.0;67,36;EUR;67,36;EUR
AS-509710;ASLYX;5259;2000020003126.0;PIECESOE;PIECESOE;1.0;68,42;EUR;68,42;EUR
AS-535714;ASLYX;5259;2000020003135.0;PIECESOE;PIECESOE;0.0;69,14;EUR;69,14;EUR
AS-594285;ASLYX;5259;2000020003171.0;PIECESOE;PIECESOE;1.0;70,42;EUR;70,42;EUR
71193;AS;274;2000020000855.0;PIECESOE;PIECESOE;1.0;70,85;EUR;170,85;EUR
AS-535904;ASLYX;5259;2000020003161.0;PIECESOE;PIECESOE;1.0;72,4;EUR;72,4;EUR
AS-503263;ASLYX;5259;2000020003145.0;PIECESOE;PIECESOE;1.0;73,32;EUR;73,32;EUR
AS-503979;ASLYX;5259;2000020003134.0;PIECESOE;PIECESOE;1.0;75,94;EUR;75,94;EUR
AS-506767;ASLYX;5259;2000020003172.0;PIECESOE;PIECESOE;1.0;75,94;EUR;75,94;EUR
AS-535928;ASLYX;5259;2000020003167.0;PIECESOE;PIECESOE;1.0;77,96;EUR;77,96;EUR
AS-506201;ASLYX;5259;2000020003139.0;PIECESOE;PIECESOE;1.0;78,1;EUR;78,1;EUR
AS-535589;ASLYX;5259;2000020003141.0;PIECESOE;PIECESOE;0.0;78,1;EUR;78,1;EUR
AS-535912;ASLYX;5259;2000020003162.0;PIECESOE;PIECESOE;1.0;78,4;EUR;78,4;EUR
AS-535551;ASLYX;5259;2000020003146.0;PIECESOE;PIECESOE;1.0;79,2;EUR;79,2;EUR
AS-594261;ASLYX;5259;2000020003152.0;PIECESOE;PIECESOE;1.0;80,82;EUR;80,82;EUR
AS-503237;ASLYX;5259;2000020003147.0;PIECESOE;PIECESOE;1.0;81,44;EUR;81,44;EUR
AS-535892;ASLYX;5259;2000020003169.0;PIECESOE;PIECESOE;1.0;81,44;EUR;81,44;EUR
AS-509709;ASLYX;5259;2000020003127.0;PIECESOE;PIECESOE;1.0;82,52;EUR;82,52;EUR
AS-535661;ASLYX;5259;2000020003128.0;PIECESOE;PIECESOE;1.0;82,52;EUR;82,52;EUR
AS-535927;ASLYX;5259;2000020003168.0;PIECESOE;PIECESOE;1.0;84,4;EUR;84,4;EUR
AS-535897;ASLYX;5259;2000020003130.0;PIECESOE;PIECESOE;0.0;99,16;EUR;99,16;EUR
AS-535902;ASLYX;5259;2000020003163.0;PIECESOE;PIECESOE;1.0;100;EUR;100;EUR
AS-203488;ASLYX;5259;2000020003131.0;PIECESOE;PIECESOE;1.0;109,16;EUR;109,16;EUR
1100-016-178;jrone;6662;1000000132269.0;PIECESOE;PIECESOE;0.0;114,2;EUR;114,2;EUR
1100-016-048;jrone;6662;1000000132270.0;PIECESOE;PIECESOE;0.0;114,2;EUR;114,2;EUR
1000-010-450;jrone;6662;1000000132271.0;PIECESOE;PIECESOE;0.0;114,33;EUR;114,33;EUR
1000-070-015;jrone;6662;1000000132272.0;PIECESOE;PIECESOE;0.0;114,4;EUR;114,4;EUR
1000-070-056;jrone;6662;1000000132273.0;PIECESOE;PIECESOE;0.0;114,4;EUR;114,4;EUR
1000-030-002;jrone;6662;1000000132274.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-003B;jrone;6662;1000000132275.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-022;jrone;6662;1000000132276.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-111;jrone;6662;1000000132277.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-111B;jrone;6662;1000000132278.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-140;jrone;6662;1000000132279.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-143;jrone;6662;1000000132280.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-144;jrone;6662;1000000132281.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-168;jrone;6662;1000000132282.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-169;jrone;6662;1000000132283.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-181T;jrone;6662;1000000132284.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-229T;jrone;6662;1000000132285.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-248;jrone;6662;1000000132286.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-248B;jrone;6662;1000000132287.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-283T;jrone;6662;1000000132288.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-285;jrone;6662;1000000132289.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-285B;jrone;6662;1000000132290.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-294T;jrone;6662;1000000132291.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-315T;jrone;6662;1000000132292.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-384;jrone;6662;1000000132293.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-384B;jrone;6662;1000000132294.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-030-410T;jrone;6662;1000000132295.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-050-002B;jrone;6662;1000000132296.0;PIECESOE;PIECESOE;0.0;114,46;EUR;114,46;EUR
1000-010-431;jrone;6662;1000000132297.0;PIECESOE;PIECESOE;0.0;114,56;EUR;114,56;EUR
1000-010-492T;jrone;6662;1000000132298.0;PIECESOE;PIECESOE;0.0;114,56;EUR;114,56;EUR
1100-016-232;jrone;6662;1000000132299.0;PIECESOE;PIECESOE;0.0;114,61;EUR;114,61;EUR
1000-010-212B;jrone;6662;1000000132300.0;PIECESOE;PIECESOE;0.0;114,68;EUR;114,68;EUR
2200-011-A58;jrone;6662;1000000132301.0;PIECESOE;PIECESOE;0.0;115,47;EUR;115,47;EUR
1000-010-337;jrone;6662;1000000132302.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-010-482;jrone;6662;1000000132303.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-010-501B;jrone;6662;1000000132304.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-010-508;jrone;6662;1000000132305.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-010-523;jrone;6662;1000000132306.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-030-292T;jrone;6662;1000000132307.0;PIECESOE;PIECESOE;0.0;115,6;EUR;115,6;EUR
1000-050-163;jrone;6662;1000000132308.0;PIECESOE;PIECESOE;0.0;115,8;EUR;115,8;EUR
1000-050-207T;jrone;6662;1000000132309.0;PIECESOE;PIECESOE;0.0;115,8;EUR;115,8;EUR
1000-050-225T;jrone;6662;1000000132310.0;PIECESOE;PIECESOE;0.0;115,8;EUR;115,8;EUR
3000-016-059;jrone;6662;1000000132311.0;PIECESOE;PIECESOE;0.0;116,38;EUR;116,38;EUR
1000-030-180T;jrone;6662;1000000132312.0;PIECESOE;PIECESOE;0.0;116,46;EUR;116,46;EUR
1000-010-407;jrone;6662;1000000132313.0;PIECESOE;PIECESOE;0.0;116,61;EUR;116,61;EUR
1000-010-496;jrone;6662;1000000132314.0;PIECESOE;PIECESOE;0.0;116,61;EUR;116,61;EUR
1000-010-513;jrone;6662;1000000132315.0;PIECESOE;PIECESOE;0.0;116,61;EUR;116,61;EUR
3000-016-071B;jrone;6662;1000000132316.0;PIECESOE;PIECESOE;0.0;116,61;EUR;116,61;EUR
2063-050-120;jrone;6662;1000000132317.0;PIECESOE;PIECESOE;0.0;116,91;EUR;116,91;EUR
1000-030-241T;jrone;6662;1000000132318.0;PIECESOE;PIECESOE;0.0;116,94;EUR;116,94;EUR
1000-030-314T;jrone;6662;1000000132319.0;PIECESOE;PIECESOE;0.0;116,94;EUR;116,94;EUR
2063-050-059;jrone;6662;1000000132320.0;PIECESOE;PIECESOE;0.0;117,02;EUR;117,02;EUR
1000-010-191;jrone;6662;1000000132321.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-273;jrone;6662;1000000132322.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-273B;jrone;6662;1000000132323.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-311;jrone;6662;1000000132324.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-333;jrone;6662;1000000132325.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-352;jrone;6662;1000000132326.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-355;jrone;6662;1000000132327.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-377;jrone;6662;1000000132328.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-410;jrone;6662;1000000132329.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-478;jrone;6662;1000000132330.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-487;jrone;6662;1000000132331.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-503;jrone;6662;1000000132332.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-520;jrone;6662;1000000132333.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-557;jrone;6662;1000000132334.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-557B;jrone;6662;1000000132335.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-567;jrone;6662;1000000132336.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-605;jrone;6662;1000000132337.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-615T;jrone;6662;1000000132338.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-627T;jrone;6662;1000000132339.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-697T;jrone;6662;1000000132340.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-723;jrone;6662;1000000132341.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-012-004T;jrone;6662;1000000132342.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-050-153T;jrone;6662;1000000132343.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-050-191;jrone;6662;1000000132344.0;PIECESOE;PIECESOE;0.0;117,12;EUR;117,12;EUR
1000-010-554B;jrone;6662;1000000132345.0;PIECESOE;PIECESOE;0.0;117,57;EUR;117,57;EUR
1000-010-057;jrone;6662;1000000132346.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-010-123C;jrone;6662;1000000132347.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-010-171;jrone;6662;1000000132348.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-010-207;jrone;6662;1000000132349.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-010-346;jrone;6662;1000000132350.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-030-101;jrone;6662;1000000132351.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-040-130;jrone;6662;1000000132352.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-040-150;jrone;6662;1000000132353.0;PIECESOE;PIECESOE;0.0;117,6;EUR;117,6;EUR
1000-040-157;jrone;6662;1000000132354.0;PIECESOE;PIECESOE;0.0;117,75;EUR;117,75;EUR
1000-010-511;jrone;6662;1000000132355.0;PIECESOE;PIECESOE;0.0;118;EUR;118;EUR
FD1008;AS;274;1100020003153.0;Fap AS;FAP AS;1.0;118,02;EUR;118,02;EUR
FD1006;AS;274;1100020003154.0;Fap AS;FAP AS;1.0;118,3;EUR;118,3;EUR
1000-040-194;jrone;6662;1000000132356.0;PIECESOE;PIECESOE;0.0;118,33;EUR;118,33;EUR
1000-010-761T;jrone;6662;1000000132357.0;PIECESOE;PIECESOE;0.0;118,36;EUR;118,36;EUR
1000-030-120;jrone;6662;1000000132358.0;PIECESOE;PIECESOE;0.0;118,61;EUR;118,61;EUR
1000-030-364T;jrone;6662;1000000132359.0;PIECESOE;PIECESOE;0.0;118,76;EUR;118,76;EUR
FD1007;AS;274;1100020003155.0;Fap AS;FAP AS;1.0;118,83;EUR;118,83;EUR
