tiltle;Teilemarke,  Teilenummer;Unnamed: 2;Unnamed: 3;Preis;Unnamed: 5;interne Artikelnummer;Unnamed: 7;Unnamed: 8;Unnamed: 9;Zustand;Pfand;Unnamed: 12;Versandklasse ;Unnamed: 14;Unnamed: 15;Lieferzeit
;Airstal, 10-0001;;;265,88;;10-0001;;;;9.0;0;;1;;;3
;Airstal, 10-0002;;;265,88;;10-0002;;;;3.0;0;;1;;;3
;Airstal, 10-0004;;;283,31;;10-0004;;;;7.0;0;;1;;;3
;Airstal, 10-0005;;;283,31;;10-0005;;;;5.0;0;;1;;;3
;Airstal, 10-0006;;;261,52;;10-0006;;;;1.0;0;;1;;;3
;Airstal, 10-0007;;;257,16;;10-0007;;;;1.0;0;;1;;;3
;Airstal, 10-0008;;;324,72;;10-0008;;;;16.0;0;;1;;;3
;Airstal, 10-0009;;;278,95;;10-0009;;;;12.0;0;;1;;;3
;Airstal, 10-0011;;;278,95;;10-0011;;;;20.0;0;;1;;;3
;Airstal, 10-0012;;;265,88;;10-0012;;;;1.0;0;;1;;;3
;Airstal, 10-0013;;;285,48;;10-0013;;;;1.0;0;;1;;;3
;Airstal, 10-0014;;;302,93;;10-0014;;;;4.0;0;;1;;;3
;Airstal, 10-0015;;;257,16;;10-0015;;;;3.0;0;;1;;;3
;Airstal, 10-0016;;;287,67;;10-0016;;;;6.0;0;;1;;;3
;Airstal, 10-0017;;;274,59;;10-0017;;;;15.0;0;;1;;;3
;Airstal, 10-0020;;;265,88;;10-0020;;;;2.0;0;;1;;;3
;Airstal, 10-0023;;;281,13;;10-0023;;;;5.0;0;;1;;;3
;Airstal, 10-0024;;;296,38;;10-0024;;;;7.0;0;;1;;;3
;Airstal, 10-0025;;;265,88;;10-0025;;;;2.0;0;;1;;;3
;Airstal, 10-0026;;;265,88;;10-0026;;;;2.0;0;;1;;;3
;Airstal, 10-0027;;;283,31;;10-0027;;;;1.0;0;;1;;;3
;Airstal, 10-0029;;;337,79;;10-0029;;;;24.0;0;;1;;;3
;Airstal, 10-0030;;;353,05;;10-0030;;;;12.0;0;;1;;;3
;Airstal, 1000309;;;396,63;;1000309;;;;1.0;0;;1;;;3
;Airstal, 10-0032;;;278,95;;10-0032;;;;12.0;0;;1;;;3
;Airstal, 10-0033;;;283,31;;10-0033;;;;77.0;0;;1;;;3
